Date,Total Count,Null Count,Fill Count,Fill Rate,Min Value,Max Value,Mean Value,Pct_1,Pct_5,Pct_10,Pct_25,Pct_50,Pct_75,Pct_90,Pct_95,Pct_99
201704,9826937,940189,8886748,0.9043253253785997,1.0,991.0,53.845770916425224,3.0,13.0,23.0,39.0,56.0,70.0,81.0,87.0,100.0
201705,9835672,959261,8876411,0.9024712292154516,1.0,941.0,53.36026553975475,3.0,13.0,22.0,38.0,55.0,69.0,80.0,86.0,98.0
201706,9841600,964268,8877332,0.9020212160624289,1.0,941.0,52.97217350888758,3.0,13.0,22.0,38.0,55.0,69.0,79.0,86.0,97.0
201707,9856304,948698,8907606,0.9037470840996787,1.0,955.0,52.93648136210784,3.0,13.0,22.0,38.0,55.0,69.0,79.0,86.0,97.0
201708,9872130,960246,8911884,0.9027316293444272,1.0,966.0,53.14268666423396,3.0,14.0,22.0,38.0,55.0,69.0,80.0,86.0,97.0
201709,9889628,1628890,8260738,0.8352930969698759,1.0,852.0,53.34779338117248,3.0,14.0,23.0,38.0,55.0,70.0,80.0,87.0,97.0
201710,9927400,1692665,8234735,0.8294956383343071,1.0,851.0,53.6301396462667,3.0,14.0,23.0,38.0,55.0,70.0,80.0,87.0,97.0
201711,9956361,1696121,8260240,0.8296444855705815,1.0,961.0,53.840796393325135,3.0,14.0,23.0,38.0,56.0,70.0,81.0,87.0,97.0
201712,9975626,1690215,8285411,0.8305655203994216,1.0,957.0,54.21313016336788,3.0,15.0,23.0,39.0,56.0,71.0,81.0,87.0,97.0
201801,9980060,1669169,8310891,0.8327496027077993,1.0,955.0,54.04813611440699,3.0,15.0,23.0,39.0,56.0,70.0,81.0,87.0,96.0
201802,9975185,1616433,8358752,0.8379545843009428,1.0,941.0,53.48320143964075,3.0,15.0,23.0,38.0,55.0,70.0,80.0,86.0,95.0
201803,9986350,1639092,8347258,0.8358667581248405,1.0,917.0,52.97259734873416,3.0,15.0,23.0,38.0,55.0,69.0,79.0,85.0,94.0
201804,10002706,1622837,8379869,0.8377602020893147,1.0,902.0,52.30338051823961,3.0,15.0,23.0,37.0,54.0,68.0,78.0,85.0,94.0
201805,10026490,1636320,8390170,0.836800315963014,1.0,897.0,52.11978899116466,4.0,15.0,23.0,37.0,54.0,68.0,78.0,84.0,94.0
201806,10042024,1654484,8387540,0.8352439707373732,1.0,894.0,52.33167615296023,4.0,15.0,23.0,37.0,54.0,68.0,79.0,85.0,94.0
201807,10053907,1661482,8392425,0.8347426527816499,1.0,877.0,52.60037760242123,5.0,15.0,23.0,37.0,54.0,69.0,79.0,85.0,95.0
201808,10063516,1660425,8403091,0.8350054791983239,1.0,876.0,52.91925518835866,5.0,16.0,23.0,38.0,54.0,69.0,80.0,86.0,95.0
201809,10071010,1633494,8437516,0.8378023654032714,1.0,887.0,53.171273393733415,5.0,16.0,23.0,38.0,55.0,69.0,80.0,86.0,96.0
