Date,Total Count,Null Count,Fill Count,Fill Rate,Min Value,Max Value,Mean Value,Pct_1,Pct_5,Pct_10,Pct_25,Pct_50,Pct_75,Pct_90,Pct_95,Pct_99
201701,9792327,9790743,1584,0.0001617593039938311,-197933.06,299296.23,-22436.155902777802,-104713.1549,-67635.067,-50070.03699999999,-29649.9525,-16129.33,-7674.8925,-3119.082,-1522.8835000000017,-85.0
201702,9806057,9804474,1583,0.00016143083810342933,-462757.97,503296.76,-23283.946917245725,-114202.80500000001,-70571.55699999999,-49892.556000000004,-30696.445,-16847.6,-8323.175,-3466.426,-1423.2710000000004,-15.981799999998758
201703,9818340,9816454,1886,0.00019208949781734997,-173267.92,80297.25,-23364.998536585364,-103502.665,-70264.825,-49695.205,-31576.379999999997,-17537.989999999998,-7830.4275,-3307.775,-1229.45,-85.0
201704,9826937,9825379,1558,0.00015854380668157332,-217090.06,145131.53,-23797.34745186138,-120162.9643,-71253.5035,-54937.388,-30311.8225,-17112.215,-8189.125,-3126.576000000002,-1439.9855000000005,0.0
201705,9835672,9832335,3337,0.00033927524220002457,-224683.16,198615.8,-21969.17107881332,-113178.15400000001,-61888.47,-43847.657999999996,-27007.6,-16607.16,-9387.81,-4760.864,-2349.060000000006,-92.20000000000255
201706,9841600,9839970,1630,0.00016562347585758413,-212932.07,153870.88,-23247.15969938649,-111348.8252,-70599.1385,-52515.237,-29793.77,-16581.515,-8094.18,-2763.862999999999,-909.8800000000003,0.0
201707,9856304,9854932,1372,0.00013920025194028105,-199399.02,43432.65,-23901.90405247815,-117869.3074,-69721.611,-52059.157999999996,-30410.53,-16869.644999999997,-8618.4625,-3707.5079999999994,-1052.7819999999992,0.0
201708,9872130,9870583,1547,0.00015670377112132842,-162910.76,94563.35,-22112.145552682643,-106188.3738,-64854.948,-47587.399999999994,-28970.94,-15679.18,-8059.165,-3647.023999999998,-1291.2500000000023,0.0
201709,9889628,9888317,1311,0.00013256312573132174,-270397.66,155346.41,-23285.47279938979,-128530.481,-67106.26000000001,-47410.99,-30409.04,-17142.18,-8177.825,-3403.33,-1447.5,0.0
201710,9927400,9926013,1387,0.00013971432600680945,-220074.07,104846.45,-23604.84383561642,-122352.19700000001,-69069.66500000001,-50414.14,-30826.595,-16843.39,-8918.045,-3853.443999999997,-961.3379999999997,0.0
201711,9956361,9954978,1383,0.00013890617264681343,-205678.14,86549.32,-22244.084953000718,-112471.0294,-68262.38500000001,-50886.78799999999,-28615.835,-15494.96,-7775.3099999999995,-3209.600000000003,-944.0000000000055,0.0
201712,9975626,9974349,1277,0.00012801201648899026,-243436.3,71164.62,-23555.64249021143,-130620.3128,-68444.26,-51287.973999999995,-30544.65,-16401.9,-7774.93,-2808.987999999996,-791.8299999999995,118.76160000000449
201801,9980060,9978668,1392,0.00013947811937002383,-192769.79,46380.04,-22310.245883620697,-109958.2076,-67178.87150000001,-47090.685000000005,-28264.595,-16399.725,-8624.945,-3745.930999999999,-1892.3504999999982,0.0
201802,9975185,9973886,1299,0.00013022314874360725,-178724.43,49290.51,-22810.43451116243,-117379.668,-70300.54999999999,-49214.06,-28235.684999999998,-16256.86,-8098.555,-3821.9459999999995,-1696.1890000000014,0.0
201803,9986350,9985080,1270,0.00012717359195301586,-158499.28,9623.67,-23097.585157480305,-109856.4761,-66200.43549999999,-49094.744,-30340.3425,-16797.739999999998,-7824.87,-3032.817999999997,-1065.9315000000015,-41.400000000003274
201804,10002706,10001457,1249,0.0001248662112032484,-273163.04,147937.81,-22282.92265012009,-107722.4908,-65203.5,-49133.986000000004,-30250.81,-16480.77,-7902.13,-3217.615999999998,-770.7720000000132,2599.633999999999
201805,10026490,10024030,2460,0.0002453500676707402,-189752.61,83945.37,-14597.254922764225,-98501.2873,-48559.169,-35753.72,-19235.447500000002,-8173.67,-3659.29,-1396.324,-548.1180000000072,3116.4159999999974
201806,10042024,10040763,1261,0.00012557229498754436,-363139.49,45193.49,-23771.957771609865,-142468.63199999998,-68188.27,-48477.08,-30005.0,-16610.8,-8072.0,-3975.0,-1324.0,0.0
